date,high,low,close,open,impact,trades,shares
2015-11-20,65,60.5,60.6,62,-2.26,9,511
2015-11-24,61.7,61.7,61.7,60.6,1.82,1,100
2015-11-26,63.9,63.9,63.9,61.7,3.57,1,2000
2015-11-27,61.2,61.1,63.9,63.9,0,2,50
2015-11-30,61,61,63.9,63.9,0,1,50
2015-12-02,64.8,60.6,60.6,63.9,-5.16,6,2756
2015-12-04,63.9,63.9,63.9,60.6,5.45,1,3000
2015-12-07,60.8,60.6,63.9,63.9,0,2,50
2015-12-08,60.6,60.6,63.9,63.9,0,1,2
2015-12-09,62.5,62,63.9,63.9,0,2,49
2015-12-10,60.6,60.6,63.9,63.9,0,1,1
2015-12-11,60.6,60.6,63.9,63.9,0,4,62
2015-12-14,60.6,60.6,60.6,63.9,-5.16,2,107
2015-12-16,60.6,60.6,60.6,60.6,0,1,3
2015-12-18,62,60.6,61.4,60.6,1.32,4,156
2015-12-21,61,60.6,61.4,61.4,0,2,59
2015-12-23,60.7,60.7,60.7,61.4,-1.14,1,300
2015-12-28,60.6,60.5,60.5,60.7,-0.33,4,1257
2015-12-29,60.6,60.5,60.5,60.5,0,5,7900
2015-12-30,60,60,60.5,60.5,0,3,51
2016-01-05,65,65,60.5,60.5,0,2,90
2016-01-06,60.4,60.3,60.5,60.5,0,3,93
2016-01-07,64,60,60.2,60.5,-0.5,9,724
2016-01-12,59,59,59,60.2,-1.99,6,20000
2016-01-13,60,60,59,59,0,1,10
2016-01-18,57.6,57.5,57.5,59,-2.54,2,350
2016-01-19,57,57,57,57.5,-0.87,1,5000
2016-01-20,56.7,56.7,57,57,0,2,60
2016-01-22,60,60,60,57,5.26,2,320
2016-01-26,58.1,58.1,60,60,0,1,1
2016-01-28,58.1,58.1,60,60,0,1,4
2016-01-29,59.9,59.9,60,60,0,1,5
2016-02-01,60,58,60,60,0,5,82
2016-02-02,72,58,58.1,60,-3.17,2,119
2016-02-09,58.1,57.2,58.1,58.1,0,2,3
2016-02-10,60,60,58.1,58.1,0,1,20
2016-02-11,57.5,57.2,58.1,58.1,0,5,75
