date,high,low,close,open,trades,shares,turnover,
2014-08-15,38,38,38,38.1,1,900,"34,200.00",
2014-08-18,38.1,38,38,38,5,195,"7,410.60",
2014-08-21,39.5,38,39.1,38,16,"19,321","750,976.00",
2014-08-22,39.4,38,39,39.1,5,"1,000","39,140.00",
2014-08-25,39,39,39,39,1,"2,000","78,000.00",
2014-08-26,39,39,39,39,1,2,78,
2014-08-27,38.1,38.1,38.1,39,3,10,381,
2014-08-28,39.4,38.2,39.3,38.1,8,"4,331","169,167.20",
2014-09-01,38.7,38.2,38.3,39.3,5,300,"11,570.60",
2014-09-02,38.2,38.2,38.2,38.3,1,50,"1,910.00",
2014-09-03,38.9,38.9,38.9,38.2,1,"1,000","38,900.00",
2014-09-04,38,38,38,38.9,5,"1,205","45,790.00",
2014-09-05,39,38,38.5,38,2,200,"7,700.00",
2014-09-09,39.4,38,38.9,38.5,6,300,"11,671.00",
2014-09-10,39.3,39.3,39.3,38.9,2,10,393,
2014-09-11,40,39,39.9,39.3,14,"1,400","55,181.90",
2014-09-12,39.4,36.7,38.1,39.9,2,200,"7,610.00",
2014-09-15,37,37,37,38.1,3,200,"7,400.00",
2014-09-16,39.4,37.2,39.4,37,3,229,"8,628.80",
2014-09-17,39.4,37.4,39.4,39.4,4,112,"4,407.80",
2014-09-18,41,39.4,39.9,39.4,32,"29,028","1,158,304.60",
2014-09-19,41,40.8,41,39.9,5,"3,645","149,425.00",
2014-09-23,42,37.8,41,41,20,"8,358","342,301.80",
2014-09-24,41.9,41.9,41.9,41,1,100,"4,190.00",
2014-09-26,40,37.6,38.3,41.9,3,416,"15,941.60",
2014-09-29,41,40,40.4,38.3,3,350,"14,125.00",
2014-09-30,40.5,38.1,40.2,40.4,9,846,"33,616.10",
2014-10-01,40.5,38.5,39.9,40.2,3,900,"35,900.00",
2014-10-02,40.5,38.6,40.2,39.9,4,201,"8,086.60",
2014-10-03,39.9,38.6,39.5,40.2,4,316,"12,373.50",
2014-10-07,38.8,38.5,38.5,39.5,7,589,"22,709.90",
2014-10-09,38.5,38.5,38.5,38.5,1,3,115.5,
2014-10-10,39.5,38.5,39.5,38.5,2,"2,100","82,850.00",
2014-10-13,38.5,38.3,38.3,39.5,4,372,"14,273.00",
2014-10-15,39.5,39,39.5,38.3,3,"1,000","39,450.00",
2014-10-16,39.5,38,38.3,39.5,8,"1,047","40,083.00",
2014-10-17,40.4,37.2,40.4,38.3,19,"12,652","499,850.30",
2014-10-20,40.4,40.4,40.4,40.4,3,3,121.2,
2014-10-21,39.8,37.6,38.1,40.4,15,"2,560","97,561.90",
2014-10-23,37.7,37.7,37.7,38.1,2,105,"3,958.50",
2014-10-24,39.8,37.8,38.6,37.7,3,267,"10,307.40",
2014-10-28,40,37.2,40,38.6,5,432,"16,642.40",
2014-10-30,39,37.6,38.9,40,7,315,"12,116.00",
2014-10-31,38,37.5,37.5,38.9,3,347,"13,112.50",
2014-11-03,38,37,37,37.5,14,"5,166","191,453.20",
2014-11-04,38,38,38,37,4,610,"23,180.00",
2014-11-05,38,38,38,38,1,20,760,
2014-11-10,37.3,37.2,37.3,38,8,"1,591","59,285.20",
2014-11-11,37.5,37.2,37.5,37.3,5,405,"15,157.50",
2014-11-12,37.9,37.2,37.8,37.5,11,"1,443","53,985.50",
2014-11-13,39.5,37,39,37.8,17,"2,952","112,629.50",
2014-11-14,39.3,37.3,37.3,39,5,183,"7,091.90",
2014-11-17,37.4,37.4,37.4,37.3,2,6,224.4,
2014-11-19,39,38.9,38.9,37.4,3,32,"1,245.40",
2014-11-21,38.5,33,36.5,38.9,13,"2,124","75,040.80",
2014-11-24,37.5,33,33,36.5,10,"5,479","181,684.50",
2014-11-25,37.3,37.3,37.3,33,1,236,"8,802.80",
2014-11-26,33.7,33.2,33.7,37.3,2,9,302.8,
2014-11-27,35.7,33,35.4,33.7,4,301,"10,235.00",
2014-11-28,34.3,34.2,34.2,35.4,2,145,"4,969.00",
2014-12-01,35.9,35.9,35.9,34.2,1,100,"3,590.00",
2014-12-02,38,36.9,38,35.9,8,"451,000","17,137,338.00",
2014-12-03,37,35,36.5,38,4,533,"18,955.00",
2014-12-05,36.1,35.7,35.8,36.5,2,125,"4,472.50",
2014-12-08,35.1,34,34,35.8,6,662,"22,860.00",
2014-12-09,34,33.1,33.3,34,6,960,"32,508.00",
2014-12-11,34,33.5,33.6,33.3,4,218,"7,327.00",
2014-12-12,33.5,33.5,33.5,33.6,1,4,134,
2014-12-15,36,36,36,33.5,1,1,36,
2014-12-16,36,33.6,36,36,6,458,"15,877.40",
2014-12-18,35.7,33.7,34,36,30,"10,353","350,966.80",
2014-12-19,34,33.7,33.7,34,5,500,"16,860.60",
2014-12-24,34.9,34.9,34.9,33.7,1,29,"1,012.10",
2014-12-26,35.2,33.8,35.2,34.9,3,517,"17,918.40",
2014-12-29,34,34,34,35.2,1,100,"3,400.00",
2014-12-30,35.7,34,34.6,34,7,"1,015","35,129.60",
2014-12-31,35.9,33.9,35.5,34.6,3,121,"4,263.90",
2015-01-02,35.5,34,34.4,35.5,23,"2,030","69,761.00",
2015-01-08,35.8,35.5,35.5,34.4,3,"1,108","39,389.00",
2015-01-09,37,35.7,36.3,35.5,3,200,"7,267.00",
2015-01-12,37,36.9,36.9,36.3,3,200,"7,380.40",
2015-01-13,36.7,34.3,36.7,36.9,4,115,"4,151.00",
2015-01-16,34.7,34.6,34.6,36.7,2,500,"17,320.00",
2015-01-19,36.3,34.6,34.8,34.6,6,"1,085","37,758.20",
2015-01-20,34.6,34,34,34.8,5,157,"5,368.90",
2015-01-21,36.1,34,35.3,34,5,95,"3,354.00",
2015-01-22,35.9,32.2,34.8,35.3,6,"2,170","73,053.00",
2015-01-27,35,34.8,34.8,34.8,3,"1,000","34,800.40",
2015-01-28,35.9,35.9,35.9,34.8,2,5,179.5,
2015-01-29,35.5,35.5,35.5,35.9,2,20,710,
2015-01-30,35,32.9,32.9,35.5,2,104,"3,430.00",
2015-02-05,34.5,32,34.3,32.9,8,320,"10,347.60",
2015-02-06,34.3,34.3,34.3,34.3,1,100,"3,430.00",
2015-02-11,35.6,34.3,34.9,34.3,7,"1,286","44,288.10",
2015-02-12,35.3,35.3,35.3,34.9,1,"1,000","35,300.00",
2015-02-13,35.2,32.8,33,35.3,5,"1,186","41,346.80",
2015-02-18,34.9,34.2,34.5,33,5,550,"18,985.00",
2015-02-19,33.2,32.9,33.2,34.5,3,258,"8,537.70",
2015-02-20,33.9,33.9,33.9,33.2,2,31,"1,050.90",
2015-02-23,34.9,33,33,33.9,11,726,"23,962.10",
2015-02-24,34.4,32.9,33.9,33,6,7,236.5,
2015-02-25,33,33,33,33.9,2,3,99,
2015-02-26,34.3,33,34.3,33,6,598,"20,125.30",
2015-03-02,34,30,33.7,34.3,19,"2,554","82,384.90",
2015-03-03,34,33,33,33.7,4,310,"10,240.00",
2015-03-04,33,33,33,33,2,20,660,
