date,high,low,close,open,trades,shares,turnover
2015-09-11,37.8,35.1,37,37,2,11,413.1
2015-09-14,37.5,35.2,35.7,37,9,"7,010","249,910.00"
2015-09-15,37.7,37,37.6,35.7,7,"2,800","105,000.00"
2015-09-16,37.6,36,36,37.6,4,"1,110","39,976.00"
2015-09-17,36,35.6,35.6,36,5,"2,600","92,775.00"
2015-09-18,35.5,35.5,35.5,35.6,2,228,"8,094.00"
2015-09-21,37.4,37.4,35.5,35.5,1,10,374
2015-09-22,37.4,37.4,35.5,35.5,1,10,374
2015-09-23,37.3,37.3,37.3,35.5,3,299,"11,152.70"
2015-09-25,37.4,37.4,37.4,37.3,2,500,"18,700.00"
2015-09-28,37.3,37.3,37.3,37.4,2,110,"4,103.00"
2015-09-29,37.4,37.4,37.3,37.3,1,10,374
2015-09-30,37.4,37.4,37.3,37.3,1,10,374
