date,high,low,closing,open,trades,shares,turnover
2015-06-04,72.2,72.2,72.2,72.2,1,50,"3,610.00"
2015-06-05,74.9,73,73,72.2,5,"2,550","186,245.00"
2015-06-08,72.6,70.1,71.3,73,4,180,"12,831.50"
2015-06-09,72,70,70,71.3,7,"1,043","73,082.30"
2015-06-11,70,70,70,70,1,20,"1,400.00"
2015-06-15,68.9,68.8,68.8,70,3,105,"7,225.00"
2015-06-16,70,68.7,70,68.8,4,202,"14,138.70"
2015-06-17,70,68.7,70,70,2,2,138.7
2015-06-18,70,70,70,70,1,1,70
2015-06-19,70,70,70,70,6,269,"18,830.00"
2015-06-22,70,69.8,69.9,70,5,123,"8,595.40"
2015-06-23,69.1,68.5,68.7,69.9,7,200,"13,740.60"
2015-06-24,69.8,69.8,68.7,68.7,1,1,69.8
2015-06-25,69.8,69.8,68.7,68.7,1,1,69.8
2015-06-26,69.8,68.6,68.7,68.7,3,3,208.2
2015-06-30,76.4,76,76,68.7,2,101,"7,676.40"
2015-07-03,72.1,61,65.9,76,9,145,"9,830.00"
2015-07-06,65,65,65.9,65.9,1,2,130
2015-07-09,71.5,71.5,65.9,65.9,1,1,71.5
2015-07-10,72,66,65.9,65.9,2,51,"3,372.00"
2015-07-13,77,70,73.8,65.9,94,"28,181","2,081,863.90"
2015-07-14,73,68,68.5,73.8,43,"20,774","1,465,454.50"
2015-07-15,71,71,68.5,68.5,1,1,71
2015-07-16,71.5,68.2,68.3,68.5,9,"2,020","138,119.00"
2015-07-17,71,70.4,71,68.3,20,"1,738","123,240.40"
2015-07-20,71.5,70.1,70.1,71,8,"1,492","104,590.60"
2015-07-21,70,69.1,69.2,70.1,6,"2,200","152,524.00"
2015-07-22,70,69.9,70,69.2,14,"1,003","70,209.70"
2015-07-23,72.5,70.9,71,70,7,"1,118","79,381.30"
2015-07-24,72.9,71,71,71,10,416,"29,843.60"
2015-07-27,71,70.4,70.5,71,6,500,"35,265.40"
2015-07-28,72,70.5,71.5,70.5,7,"3,701","264,972.00"
2015-07-30,70.2,70.1,70.1,71.5,9,"1,621","113,642.10"
2015-08-03,70.1,70.1,70.1,70.1,1,100,"7,010.00"
2015-08-04,70.2,70.1,70.2,70.1,8,816,"57,272.60"
2015-08-05,72.8,72.5,72.5,70.2,7,670,"48,605.00"
2015-08-06,72.5,71,71,72.5,5,105,"7,459.50"
2015-08-07,71.1,71.1,71.1,71,4,873,"62,070.30"
2015-08-10,71,70,70.7,71.1,8,239,"16,891.00"
2015-08-11,71,70.7,70.7,70.7,2,12,851.4
2015-08-12,71,71,71,70.7,2,309,"21,939.00"
2015-08-13,71.1,70.5,70.7,71,4,232,"16,396.10"
2015-08-14,70.6,70,70.2,70.7,4,"1,000","70,172.50"
2015-08-17,71,70.8,70.8,70.2,3,401,"28,391.00"
2015-08-18,71,70,70,70.8,12,"4,093","286,871.00"
2015-08-19,71,71,70,70,2,25,"1,775.00"
2015-08-20,69.2,69.2,69.2,70,1,100,"6,920.00"
2015-08-21,69.5,69.2,69.3,69.2,3,600,"41,566.70"
2015-08-24,69.1,68.5,68.6,69.3,11,"1,888","129,597.80"
2015-08-26,69.4,69.4,68.6,68.6,1,1,69.4
2015-08-27,67.4,65,66.1,68.6,20,"1,762","116,616.40"
2015-08-28,66,66,66,66.1,1,500,"33,000.00"
2015-09-01,68,68,68,66,3,259,"17,612.00"
2015-09-03,68,66,67.5,68,10,"3,620","242,235.00"
2015-09-07,66.5,66.5,66.5,67.5,3,202,"13,433.00"
2015-09-08,68,66.1,67.9,66.5,11,"4,573","306,383.10"
2015-09-09,71,68.3,70.7,67.9,15,"6,661","465,402.80"
2015-09-10,73,72,72,70.7,13,"6,917","499,074.00"
2015-09-11,75,70.2,73.5,72,19,"2,863","211,880.40"
2015-09-14,75,70,72.8,73.5,8,"1,211","88,143.90"
2015-09-15,73.9,73.9,73.9,72.8,3,103,"7,611.70"
2015-09-16,73,70,70.1,73.9,11,"2,422","170,295.00"
2015-09-18,73.4,70,70,70.1,3,"4,003","280,220.10"
2015-09-21,73.4,73.4,70,70,1,1,73.4
2015-09-22,70,70,70,70,2,51,"3,570.00"
2015-09-23,71.5,68.6,69.9,70,7,852,"59,433.00"
2015-09-25,68.5,68,68,69.9,3,400,"27,300.00"
2015-09-28,68,67.1,67.5,68,4,109,"7,356.20"
2015-09-29,68.5,67.1,67.1,67.5,6,301,"20,480.10"
2015-10-02,70,69,69.6,67.1,10,"1,399","97,331.00"
2015-10-06,68,68,68,69.6,2,198,"13,464.00"
2015-10-07,70,70,70,68,3,150,"10,500.00"
2015-10-08,68,67,67.1,70,9,999,"67,128.00"
2015-10-09,67,67,67.1,67.1,2,11,737
2015-10-12,68,68,67.1,67.1,1,1,68
2015-10-13,66.2,66.2,67.1,67.1,1,1,66.2
2015-10-14,67.5,65.7,65.7,67.1,16,"1,855","122,059.40"
2015-10-15,65.6,65,65.3,65.7,9,"1,025","66,935.00"
2015-10-16,65,65,65,65.3,3,475,"30,875.00"
2015-10-19,67,65,66,65,2,100,"6,600.00"
2015-10-20,68.9,68,68.5,66,2,186,"12,738.00"
2015-10-22,66,66,68.5,68.5,3,3,198
2015-10-23,69,69,68.5,68.5,1,1,69
2015-10-29,67.5,67.5,68.5,68.5,1,1,67.5
2015-11-04,67,60,60.3,68.5,38,"6,492","391,441.70"
2015-11-05,62,62,62,60.3,6,"1,998","123,876.00"
2015-11-06,63.9,63.8,63.9,62,3,150,"9,580.00"
2015-11-11,61,60,60.1,63.9,4,"1,000","60,104.00"
2015-11-13,61,61,60.1,60.1,1,10,610
2015-11-16,60,59.3,60,60.1,7,"1,120","66,923.60"
2015-11-17,60.1,60,60.1,60,3,523,"31,391.30"
2015-11-18,63,63,63,60.1,1,"2,000","126,000.00"
2015-11-19,62,61,62,63,2,"22,011","1,364,671.00"
2015-11-20,65,60.5,60.6,62,9,511,"30,968.00"
2015-11-24,61.7,61.7,61.7,60.6,1,100,"6,170.00"
2015-11-26,63.9,63.9,63.9,61.7,1,"2,000","127,800.00"
2015-11-27,61.2,61.1,63.9,63.9,2,50,"3,056.00"
2015-11-30,61,61,63.9,63.9,1,50,"3,050.00"
2015-12-02,64.8,60.6,60.6,63.9,6,"2,756","167,044.60"
2015-12-04,63.9,63.9,63.9,60.6,1,"3,000","191,700.00"
2015-12-07,60.8,60.6,63.9,63.9,2,50,"3,032.00"
2015-12-08,60.6,60.6,63.9,63.9,1,2,121.2
2015-12-09,62.5,62,63.9,63.9,2,49,"3,042.50"
2015-12-10,60.6,60.6,63.9,63.9,1,1,60.6
2015-12-11,60.6,60.6,63.9,63.9,4,62,"3,757.20"
2015-12-14,60.6,60.6,60.6,63.9,2,107,"6,484.20"
2015-12-16,60.6,60.6,60.6,60.6,1,3,181.8
2015-12-18,62,60.6,61.4,60.6,4,156,"9,582.70"
2015-12-21,61,60.6,61.4,61.4,2,59,"3,583.40"
2015-12-23,60.7,60.7,60.7,61.4,1,300,"18,210.00"
2015-12-28,60.6,60.5,60.5,60.7,4,"1,257","76,051.50"
2015-12-29,60.6,60.5,60.5,60.5,5,"7,900","477,958.00"
2015-12-30,60,60,60.5,60.5,3,51,"3,060.00"
2016-01-05,65,65,60.5,60.5,2,90,"5,850.00"
2016-01-06,60.4,60.3,60.5,60.5,3,93,"5,612.90"
2016-01-07,64,60,60.2,60.5,9,724,"43,635.70"
2016-01-12,59,59,59,60.2,6,"20,000","1,180,000.00"
2016-01-13,60,60,59,59,1,10,600
2016-01-18,57.6,57.5,57.5,59,2,350,"20,126.00"
2016-01-19,57,57,57,57.5,1,"5,000","285,000.00"
2016-01-20,56.7,56.7,57,57,2,60,"3,402.00"
2016-01-22,60,60,60,57,2,320,"19,200.00"
2016-01-26,58.1,58.1,60,60,1,1,58.1
2016-01-28,58.1,58.1,60,60,1,4,232.4
2016-01-29,59.9,59.9,60,60,1,5,299.5
2016-02-01,60,58,60,60,5,82,"4,857.20"
2016-02-02,72,58,58.1,60,2,119,"6,916.00"
2016-02-09,58.1,57.2,58.1,58.1,2,3,172.5
2016-02-10,60,60,58.1,58.1,1,20,"1,200.00"
2016-02-11,57.5,57.2,58.1,58.1,5,75,"4,307.40"
2016-02-15,57,52,58.1,58.1,6,61,"3,222.80"
2016-02-16,57,57,58.1,58.1,2,7,399
2016-02-17,57,56,57,58.1,4,646,"36,592.00"
2016-02-18,55,55,57,57,1,1,55
2016-02-23,57,57,57,57,1,100,"5,700.00"
2016-02-24,57,57,57,57,2,701,"39,957.00"
2016-02-25,59.8,59.8,57,57,1,5,299
2016-02-26,57,56,57,57,2,204,"11,624.00"
2016-02-29,51.5,51.5,57,57,1,2,103
2016-03-01,53.1,53.1,53.1,57,3,500,"26,550.00"
2016-03-02,53,53,53,53.1,1,500,"26,500.00"
2016-03-03,51.2,51,51.1,53,3,100,"5,109.00"
